Column,Spearman_rho,Abs_rho,Eta_squared,RF_Importance,Spearman_rank,RF_rank,Avg_rank
HOUSCQ,0.8795,0.8795,0.5441,0.7696,1,1,1.0
FOODCQ,0.8181,0.8181,0.4771,0.0817,2,3,2.5
TRANSCQ,0.7232,0.7232,0.4359,0.1111,3,2,2.5
ENTERTCQ,0.6383,0.6383,0.3384,0.0103,4,5,4.5
HEALTHCQ,0.5752,0.5752,0.2896,0.0223,5,4,4.5
NUM_CARS,0.3276,0.3276,0.0749,0.0004,6,9,7.5
CUTENURE,-0.2847,0.2847,0.0368,0.0011,10,6,8.0
VEHQ,0.3276,0.3276,0.0749,0.0003,6,11,8.5
NUM_RESIDENTS,0.3194,0.3194,0.0406,0.0002,8,13,10.5
AGE_REF,-0.0716,0.0716,0.0274,0.0011,15,6,10.5
FAM_SIZE,0.3194,0.3194,0.0406,0.0002,8,13,10.5
FINLWT21,-0.0687,0.0687,0.0047,0.001,16,8,12.0
AVG_INC_AGE,0.1907,0.1907,,0.0003,13,11,12.0
IS_OWNER,0.2191,0.2191,0.0,0.0001,12,15,13.5
HAS_MORTGAGE,0.2797,0.2797,0.0,0.0,11,17,14.0
REGION,0.0031,0.0031,0.0038,0.0003,18,11,14.5
HAS_CAR,0.1845,0.1845,0.0,0.0,14,17,15.5
BLS_URBN,-0.0491,0.0491,0.0,0.0001,17,15,16.0
