Column,Spearman_rho,Abs_rho,p_value,Eta_squared,N
LOG_INCOME,-0.2411,0.2411,0.0,0.0984,11311
INCOME_X_SIZE,-0.2129,0.2129,0.0,0.0906,11311
LOG_INCOME_X_CAR,-0.1234,0.1234,0.0,0.0215,11311
CUTENURE,0.0981,0.0981,0.0,0.0026,11311
IS_OWNER,-0.0913,0.0913,0.0,0.0,11311
MORTGAGE_FLAG,-0.0855,0.0855,0.0,0.0,11311
HAS_MORTGAGE,-0.0855,0.0855,0.0,0.0,11311
NUM_CARS,-0.0727,0.0727,0.0,0.0026,11311
VEHQ,-0.0727,0.0727,0.0,0.0026,11311
EDUCA2,-0.0716,0.0716,0.0,0.0026,5479
MARITAL1,0.0698,0.0698,0.0,0.0006,11311
FAM_SIZE,-0.0677,0.0677,0.0,0.0034,11311
NUM_RESIDENTS,-0.0677,0.0677,0.0,0.0034,11311
HAS_CAR,-0.0558,0.0558,0.0,0.0,11311
OWNER_X_AGE,-0.0491,0.0491,0.0,0.0031,11311
SEX_REF,0.0357,0.0357,0.000144,0.0,11311
CARS_PER_PERSON,-0.0294,0.0294,0.001741,0.0018,11311
AGE_SQUARED,0.0233,0.0233,0.013113,0.0026,11311
AGE_REF,0.0233,0.0233,0.013113,0.0026,11311
BLS_URBN,0.0223,0.0223,0.017821,0.0,11311
FINLWT21,-0.0151,0.0151,0.108325,0.0013,11311
REGION,0.0072,0.0072,0.449451,0.0006,11017
